"Номер","Название","Дата создания","Дата окончания","Адрес","Начальная цена","Отрасли"
"79113707","Поставка установки воздушного запуска воздушных судов (УВЗ) для нужд Международного аэропорта Жуковский","22.10.24","08.11.2024 10:00","г. Жуковский","43 950 000","Самолеты, Вертолеты и их части"
"79112143","Оказание услуг по перевозке граждан-получателей набора социальных услуг, в том числе передвигающихся на креслах-колясках, и сопровождающих их лиц воздушным транспортом к месту лечения и обратно","22.10.24","25.10.2024 17:00","Город Москва;г. Калининград","—","Услуги пассажирских авиаперевозок"
"79111225","Оказание авиауслуг (вертолеты) по перевозке вахтового персонала и груза на месторождениях Томской области в 2025г","22.10.24","12.11.2024 12:00","Томская обл","—","Самолеты, Вертолеты и их части"
"79110146","оказание услуг по бронированию и оформлению авиабилетов на внутренние направления, оформлению железнодорожных билетов участников команды в рамках поездки по проведению игр в городе Ижевске, Волгограде","22.10.24","25.10.2024 16:00","г. Ижевск; г. Волгоград","170 000","Услуги пассажирских авиаперевозок"
"79109070","услуги по обеспечению проездными документами иностранных граждан, и лиц без гражданства, подлежащих административному выдворению","22.10.24","23.10.2024 12:00","г. Воронеж","150 000","Услуги пассажирских авиаперевозок"
"79106388","оказание услуг по бронированию и оформлению авиабилетов на внутренние направления, оформлению железнодорожных билетов участников команды в рамках поездки по проведению игр в городе Ижевске, Волгограде","22.10.24","25.10.2024 14:00","Челябинская обл","170 000","Услуги пассажирских авиаперевозок"
"79094607","Оказание услуг по организации проезда участников и наставников","22.10.24","30.10.2024 15:38","г. Самара,  г. Казань","—","Услуги пассажирских авиаперевозок"
"79104335","Закупка МИ","22.10.24","24.10.2024 10:00","Воронеж","—","Самолеты, Вертолеты и их части"
"79104811","Закупка Керосина ТС-1 в количестве 120 тн","22.10.24","28.10.2024 12:00","Минераловодский район,  п.Анджиевский","—","Авиационное топливо"
"79102124","Поставка беспилотно-летательного аппарата","22.10.24","23.10.2024 12:00","г. Пермь","459 285","Самолеты, Вертолеты и их части"
"79089537","оформление билетов","22.10.24","28.10.2024","Город Москва","—","Услуги пассажирских авиаперевозок"
"79099315","Обеспечение заправки воздушных судов (28 лотов)","22.10.24","25.10.2024","г. Благовещенск,  г. Владивосток,  г. Жуковский,  г. Екатеринбург,  г. Иркутск,  г. Казань,  г. Калининград,  г. Красноярск,  г. Москва,  г. Нижневартовск,  г. Самара,  г. Санкт-Петербург,  г. Сочи,  г. Тюмень,  г. Уфа,  г. Чита","—","Авиационное топливо"
