"number","description","date_start","date_finish","address","price","customer","category"
"79063508","Поставка (кофры для БПЛА)","21.10.24","28.10.202418:00","г. Иннополис","—","","Самолеты, Вертолеты и их части"
"79064209","Поставка запасных частей, моторного масла, фильтров и технических жидкостей","21.10.24","22.10.202413:11","г. Боровичи","42 008","","Светотехническая продукция, Лампы и другое осветительное оборудование"
"79062125","Оказание услуг по организации служебных командировок","21.10.24","06.11.202410:00","Город Санкт-Петербург","2 000 000","","Услуги пассажирских авиаперевозок"
"79061098","Оказание услуг по поисково – спасательному обеспечению в части дежурства воздушных судов и экипажей и выполнению дежурными экипажами тренировочных полетов и участию в совместных ведомственных (межведомственных) учениях и тренировках, в том числе на десантирование спасателей и аварийно-спасательных средств совместно со спасательными парашютно-десантными группами в Якутской зоне авиационно-космического поиска и спасания с целью подготовки дежурных экипажей и спасательных парашютно-десантных групп к выполнению поиска и спасания терпящих или потерпевших бедствие воздушных судов, их пассажиров и экипажей. Место дислокации – Нерюнгри. Тип ПСВС – Ми-8","21.10.24","06.11.202409:00","Респ. Саха /Якутия/","107 136 687","","Услуги пассажирских авиаперевозок"
"79058900","Поставка беспилотных летательных аппаратов (дронов)","21.10.24","29.10.202403:00","г. Благовещенск","188 383","","Самолеты, Вертолеты и их части"
"79058073","Поставка керосина","21.10.24","22.10.202410:54","г. Можайск,  поселок им. Дзержинского","10 005","","Авиационное топливо"
"79055274","Оказание услуг по поисково – спасательному обеспечению в части дежурства воздушных судов и экипажей и выполнению дежурными экипажами тренировочных полетов и участию в совместных ведомственных (межведомственных) учениях и тренировках, в том числе на десантирование спасателей и аварийно-спасательных средств совместно со спасательными парашютно-десантными группами в Иркутской зоне авиационно-космического поиска и спасания с целью подготовки дежурных экипажей и спасательных парашютно-десантных групп к выполнению поиска и спасания терпящих или потерпевших бедствие воздушных судов, их пассажиров и экипажей. Место дислокации – Чита. Тип ПСВС – Ми-8","21.10.24","06.11.202409:00","Забайкальский край","115 615 385","","Услуги пассажирских авиаперевозок"
"79055276","Оказание услуг по поисково – спасательному обеспечению в части дежурства воздушных судов и экипажей и выполнению дежурными экипажами тренировочных полетов и участию в совместных ведомственных (межведомственных) учениях и тренировках, в том числе на десантирование спасателей и аварийно-спасательных средств совместно со спасательными парашютно-десантными группами в Красноярской зоне авиационно-космического поиска и спасания с целью подготовки дежурных экипажей и спасательных парашютно-десантных групп к выполнению поиска и спасания терпящих или потерпевших бедствие воздушных судов, их пассажиров и экипажей. Место дислокации – Кызыл. Тип ПСВС – Ми-8","21.10.24","06.11.202409:00","Респ. Тыва","94 854 236","","Услуги пассажирских авиаперевозок"
"79056770","Поставка игрушек 2","21.10.24","22.10.202410:24","г. Красное Село","90 806","","Строительные металлические конструкции"
"79048206","Оказание услуг по перевозке пенсионеров воздушным транспортом","21.10.24","05.11.202400:00","г. Петропавловск-Камчатский,  г. Москва,  г. Владивосток. г. Хабаровск,  г. Новосибирск,  г. Сочи","7 781 700","","Услуги пассажирских авиаперевозок"
"79052862","Поставка топлива для реактивных двигателей для вертолета Ми-8МТВ-1 Дальневосточного таможенного управления","21.10.24","29.10.202402:00","г. Артем; г. Хабаровск","1 495 500","","Авиационное топливо"
"79052038","Закупка услуг по бронированию и оформлению авиабилетов на внутренние и международные направления, оформлению железнодорожных билетов, бронированию номеров в российских и зарубежных гостиницах, организации транспортного обслуживания, оформлению виз для работников АО ""Башспирт""","21.10.24","28.10.202409:00","Респ. Башкортостан","2 000 000","","Услуги пассажирских авиаперевозок"
"79052005","Услуги по пассажирским перевозкам воздушным транспортом по путевкам и направлениям, выдаваемым органами исполнительной власти в сфере здравоохранения в 2024 году","21.10.24","22.10.202409:00","г. Екатеринбург; Город Москва","373 500","","Услуги пассажирских авиаперевозок"
"79051523","поставка топлива для реактивных двигателей марки ТС-1","21.10.24","29.10.202409:00","г. Братск","77 187 096","","Авиационное топливо"
"79051342","Оказание услуг по регулярным пассажирским перевозкам воздушным транспортом на местных линиях в 2025 году","21.10.24","23.10.202417:30","г. Владивосток","—","","Услуги пассажирских авиаперевозок"
"79050611","Поставка оборудования для класса БПЛА","21.10.24","29.10.202406:00","г. Екатеринбург","7 732 819","","Самолеты, Вертолеты и их части"
"79049702","Поставка ГСМ","21.10.24","28.10.202408:00","г. Челябинск","—","","Авиационное топливо"
"79049528","Выполнение перевозок воздушным транспортом для нужд Администрации Главы Республики Тыва и Аппарата Правительства Республики Тыва","21.10.24","28.10.202402:00","Респ. Тыва","3 295 436","","Услуги пассажирских авиаперевозок"
